foundation|321358|Hummus comercial|prepared
foundation|321360|Tomates uva crudos|raw
foundation|321611|Judías verdes en conserva, escurridas|prepared
foundation|323294|Almendras tostadas en seco con sal|prepared
foundation|323505|Col rizada cruda|raw
foundation|323604|Huevo entero crudo, congelado y pasteurizado|frozen
foundation|323697|Clara de huevo cruda, congelada y pasteurizada|frozen
foundation|323793|Clara de huevo deshidratada|dried
foundation|324653|Pepinillos en vinagre con eneldo|prepared
foundation|325036|Queso parmesano rallado|prepared
foundation|325287|Zumo de pomelo blanco envasado, sin endulzar|prepared
foundation|325430|Melocotón amarillo crudo|raw
foundation|325524|Pipas de girasol peladas, tostadas en seco con sal|prepared
foundation|326196|Col rizada congelada, hervida y escurrida sin sal|cooked
foundation|326698|Mostaza amarilla preparada|prepared
foundation|327046|Kiwi verde crudo|raw
foundation|327357|Nectarina cruda|raw
foundation|328637|Queso cheddar|prepared
foundation|328841|Queso cottage con 2 % de grasa|prepared
foundation|329370|Mozzarella parcialmente desnatada de baja humedad|prepared
foundation|329490|Huevo entero deshidratado|dried
foundation|329596|Yema cruda, congelada y pasteurizada|frozen
foundation|329716|Yema deshidratada|dried
foundation|330137|Yogur griego natural desnatado|prepared
foundation|330415|Yogur griego de fresa desnatado|prepared
foundation|330458|Aceite de coco|prepared
foundation|331897|Muslo inferior de pollo, solo carne, braseado|cooked
foundation|331960|Pechuga de pollo sin piel ni hueso, braseada|cooked
foundation|332282|Salsa marinara de tomate lista para servir|prepared
foundation|332397|Jamón loncheado envasado, 96 % libre de grasa, con agua añadida|prepared
foundation|332791|Aceitunas verdes manzanilla rellenas de pimiento|prepared
foundation|333008|Galletas blandas de avena con pasas|prepared
foundation|333281|Tomate rojo maduro en conserva, en dados|prepared
foundation|333374|Eglefino crudo|raw
foundation|333476|Abadejo crudo|raw
foundation|334194|Atún claro en agua, en conserva y escurrido|prepared
foundation|746764|Zanahoria congelada sin preparar|frozen
foundation|746765|Queso seco blanco|prepared
foundation|746766|Ricotta de leche entera|prepared
foundation|746767|Queso suizo|prepared
foundation|746768|Higos secos sin cocinar|dried
foundation|746770|Melón cantalupo crudo|raw
foundation|746771|Naranja navel cruda|raw
foundation|746772|Leche con 1 % de grasa, vitaminas A y D añadidas|prepared
foundation|746773|Pera Bartlett cruda|raw
foundation|746776|Leche desnatada con vitaminas A y D añadidas|prepared
foundation|746777|Salsa tipo mexicana lista para servir|prepared
